onset_lsl,onset_s,duration_s,end_lsl,end_s,event_lsl_ts,event_time_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source,onset_rel_s,end_rel_s
49612.093733,584.815171,0.920629,49613.014363,585.735801,49612.093733,584.815171,index_open,n/a,,,2,1,35,1,manual,295.6310,296.5516
49614.860658,587.582096,0.984630,49615.845288,588.566726,49614.860658,587.582096,index_open,n/a,,,2,1,36,1,manual,298.3979,299.3826
49617.613153,590.334591,1.151585,49618.764738,591.486176,49617.613153,590.334591,index_open,n/a,,,2,1,37,1,manual,301.1504,302.3020
49621.160216,593.881654,1.027121,49622.187337,594.908775,49621.160216,593.881654,none_open,n/a,,,0,1,38,1,manual,304.6975,305.7246
49624.114832,596.836270,1.048197,49625.163030,597.884468,49624.114832,596.836270,index_open,n/a,,,2,1,39,1,manual,307.6521,308.7003
49627.293377,600.014815,0.882880,49628.176258,600.897696,49627.293377,600.014815,index_open,n/a,,,2,1,40,1,manual,310.8306,311.7135
49630.180882,602.902320,1.020775,49631.201657,603.923095,49630.180882,602.902320,index_open,n/a,,,2,1,41,1,manual,313.7182,314.7389
49633.359000,606.080438,0.951170,49634.310170,607.031608,49633.359000,606.080438,index_open,n/a,,,2,1,42,1,manual,316.8963,317.8474
49636.181546,608.902984,1.220345,49637.401890,610.123328,49636.181546,608.902984,index_open,n/a,,,2,1,43,1,manual,319.7188,320.9392
49647.478616,620.200054,1.225143,49648.703759,621.425197,49647.478616,620.200054,index_close,n/a,,,2,2,44,1,manual,331.0159,332.2410
49650.552672,623.274110,1.023517,49651.576190,624.297628,49650.552672,623.274110,index_close,n/a,,,2,2,45,1,manual,334.0899,335.1135
49653.402812,626.124250,1.103136,49654.505948,627.227386,49653.402812,626.124250,index_close,n/a,,,2,2,46,1,manual,336.9401,338.0432
49657.175879,629.897317,1.200168,49658.376047,631.097485,49657.175879,629.897317,index_close,n/a,,,2,2,47,1,manual,340.7131,341.9133
49660.300723,633.022161,1.094384,49661.395106,634.116544,49660.300723,633.022161,index_close,n/a,,,2,2,48,1,manual,343.8380,344.9324
49663.803965,636.525403,1.214398,49665.018363,637.739801,49663.803965,636.525403,index_close,n/a,,,2,2,49,1,manual,347.3412,348.5556
49668.234520,640.955958,1.381841,49669.616361,642.337799,49668.234520,640.955958,index_close,n/a,,,2,2,50,1,manual,351.7718,353.1536
49671.702173,644.423611,1.184115,49672.886288,645.607726,49671.702173,644.423611,index_close,n/a,,,2,2,51,1,manual,355.2394,356.4236
49675.067381,647.788819,1.067818,49676.135199,648.856637,49675.067381,647.788819,index_close,n/a,,,2,2,52,1,manual,358.6047,359.6725
49678.355466,651.076904,1.200042,49679.555508,652.276946,49678.355466,651.076904,index_close,n/a,,,2,2,53,1,manual,361.8927,363.0928
49682.691232,655.412670,1.226122,49683.917354,656.638792,49682.691232,655.412670,index_close,n/a,,,2,2,54,1,manual,366.2285,367.4546
49685.712970,658.434408,1.363981,49687.076950,659.798388,49685.712970,658.434408,index_close,n/a,,,2,2,55,1,manual,369.2502,370.6142
49688.679483,661.400921,1.303584,49689.983066,662.704504,49688.679483,661.400921,middle_close,n/a,,,3,2,56,1,manual,372.2168,373.5203
49698.909799,671.631237,1.178722,49700.088521,672.809959,49698.909799,671.631237,none_open,n/a,,,0,1,57,1,manual,382.4471,383.6258
49701.907173,674.628611,1.009351,49702.916523,675.637961,49701.907173,674.628611,middle_open,n/a,,,3,1,58,1,manual,385.4444,386.4538
49705.018686,677.740124,1.237604,49706.256290,678.977728,49705.018686,677.740124,none_open,n/a,,,0,1,59,1,manual,388.5560,389.7936
49708.335579,681.057017,0.836336,49709.171915,681.893353,49708.335579,681.057017,none_open,n/a,,,0,1,60,1,manual,391.8728,392.7092
49711.984490,684.705928,1.043996,49713.028486,685.749924,49711.984490,684.705928,middle_open,n/a,,,3,1,61,1,manual,395.5218,396.5658
49714.878150,687.599588,0.972386,49715.850536,688.571974,49714.878150,687.599588,middle_open,n/a,,,3,1,62,1,manual,398.4154,399.3878
49717.575413,690.296851,0.984023,49718.559436,691.280874,49717.575413,690.296851,middle_open,n/a,,,3,1,63,1,manual,401.1127,402.0967
49720.440827,693.162265,1.000789,49721.441616,694.163054,49720.440827,693.162265,middle_open,n/a,,,3,1,64,1,manual,403.9781,404.9789
49723.266522,695.987960,1.139978,49724.406500,697.127938,49723.266522,695.987960,middle_open,n/a,,,3,1,65,1,manual,406.8038,407.9438
49727.433812,700.155250,1.139606,49728.573418,701.294856,49727.433812,700.155250,middle_open,n/a,,,3,1,66,1,manual,410.9711,412.1107
49730.644562,703.366000,1.159151,49731.803713,704.525151,49730.644562,703.366000,none_open,n/a,,,0,1,67,1,manual,414.1818,415.3410
49733.633139,706.354577,1.357868,49734.991007,707.712445,49733.633139,706.354577,middle_open,n/a,,,3,1,68,1,manual,417.1704,418.5283
49737.316446,710.037884,1.249397,49738.565843,711.287281,49737.316446,710.037884,middle_open,n/a,,,3,1,69,1,manual,420.8537,422.1031
49743.534215,716.255653,1.247852,49744.782068,717.503506,49743.534215,716.255653,middle_open,n/a,,,3,1,70,1,manual,427.0715,428.3193
49748.307150,721.028588,1.099798,49749.406949,722.128387,49748.307150,721.028588,middle_open,n/a,,,3,1,71,1,manual,431.8444,432.9442
49751.736868,724.458306,1.131485,49752.868353,725.589791,49751.736868,724.458306,middle_open,n/a,,,3,1,72,1,manual,435.2741,436.4056
49755.265162,727.986600,1.001806,49756.266967,728.988406,49755.265162,727.986600,none_open,n/a,,,0,1,73,1,manual,438.8024,439.8042
49764.405821,737.127259,1.133750,49765.539571,738.261009,49764.405821,737.127259,middle_close,n/a,,,3,2,74,1,manual,447.9431,449.0768
49767.819555,740.540993,1.145188,49768.964743,741.686181,49767.819555,740.540993,middle_close,n/a,,,3,2,75,1,manual,451.3568,452.5020
49771.503863,744.225301,1.064161,49772.568023,745.289461,49771.503863,744.225301,middle_close,n/a,,,3,2,76,1,manual,455.0411,456.1053
49774.553731,747.275169,1.083375,49775.637106,748.358544,49774.553731,747.275169,middle_close,n/a,,,3,2,77,1,manual,458.0910,459.1744
49777.402899,750.124338,1.191664,49778.594563,751.316001,49777.402899,750.124338,middle_close,n/a,,,3,2,78,1,manual,460.9402,462.1318
49780.711640,753.433078,1.044028,49781.755668,754.477106,49780.711640,753.433078,middle_close,n/a,,,3,2,79,1,manual,464.2489,465.2929
49783.856582,756.578020,1.184866,49785.041448,757.762887,49783.856582,756.578020,middle_close,n/a,,,3,2,80,1,manual,467.3939,468.5787
49787.048464,759.769902,1.020202,49788.068665,760.790103,49787.048464,759.769902,middle_close,n/a,,,3,2,81,1,manual,470.5857,471.6059
49790.207001,762.928439,1.215717,49791.422717,764.144155,49790.207001,762.928439,middle_close,n/a,,,3,2,82,1,manual,473.7443,474.9600
49793.530002,766.251440,1.103230,49794.633232,767.354670,49793.530002,766.251440,middle_close,n/a,,,3,2,83,1,manual,477.0673,478.1705
49798.919927,771.641365,1.462731,49800.382658,773.104096,49798.919927,771.641365,middle_close,n/a,,,3,2,84,1,manual,482.4572,483.9199
49802.301038,775.022476,1.254805,49803.555843,776.277281,49802.301038,775.022476,middle_close,n/a,,,3,2,85,1,manual,485.8383,487.0931
49805.484104,778.205542,1.171759,49806.655863,779.377301,49805.484104,778.205542,middle_close,n/a,,,3,2,86,1,manual,489.0214,490.1931
49808.416212,781.137650,1.117544,49809.533757,782.255195,49808.416212,781.137650,middle_close,n/a,,,3,2,87,1,manual,491.9535,493.0710
49821.245117,793.966555,1.422374,49822.667490,795.388928,49821.245117,793.966555,none_close,n/a,,,0,2,88,1,manual,504.7824,506.2048
49824.849318,797.570756,1.258671,49826.107989,798.829427,49824.849318,797.570756,middle_close,n/a,,,3,2,89,1,manual,508.3866,509.6453
49837.491742,810.213180,1.426501,49838.918243,811.639681,49837.491742,810.213180,ring_close,n/a,,,4,2,90,1,manual,521.0290,522.4555
49845.833014,818.554452,1.095287,49846.928301,819.649739,49845.833014,818.554452,ring_open,n/a,,,4,1,91,1,manual,529.3703,530.4656
49848.792476,821.513914,1.039984,49849.832460,822.553898,49848.792476,821.513914,ring_open,n/a,,,4,1,92,1,manual,532.3297,533.3697
49851.608325,824.329763,0.851643,49852.459968,825.181406,49851.608325,824.329763,ring_open,n/a,,,4,1,93,1,manual,535.1456,535.9972
49854.725254,827.446692,1.083957,49855.809211,828.530649,49854.725254,827.446692,none_open,n/a,,,0,1,94,1,manual,538.2625,539.3465
49857.655242,830.376681,1.203085,49858.858327,831.579765,49857.655242,830.376681,ring_open,n/a,,,4,1,95,1,manual,541.1925,542.3956
49860.816493,833.537931,1.023527,49861.840020,834.561458,49860.816493,833.537931,ring_open,n/a,,,4,1,96,1,manual,544.3538,545.3773
49863.782841,836.504279,0.951198,49864.734039,837.455477,49863.782841,836.504279,ring_open,n/a,,,4,1,97,1,manual,547.3201,548.2713
49866.894839,839.616277,0.979018,49867.873857,840.595295,49866.894839,839.616277,ring_open,n/a,,,4,1,98,1,manual,550.4321,551.4111
49870.686720,843.408158,1.185142,49871.871862,844.593300,49870.686720,843.408158,ring_open,n/a,,,4,1,99,1,manual,554.2240,555.4091
49874.153073,846.874511,1.032016,49875.185090,847.906528,49874.153073,846.874511,none_open,n/a,,,0,1,100,1,manual,557.6903,558.7224
49878.082568,850.804006,1.203667,49879.286235,852.007673,49878.082568,850.804006,ring_open,n/a,,,4,1,101,1,manual,561.6198,562.8235
49881.478376,854.199814,1.148234,49882.626610,855.348048,49881.478376,854.199814,ring_open,n/a,,,4,1,102,1,manual,565.0156,566.1639
49884.817699,857.539137,1.011821,49885.829520,858.550958,49884.817699,857.539137,none_open,n/a,,,0,1,103,1,manual,568.3550,569.3668
49889.772795,862.494233,1.243037,49891.015832,863.737270,49889.772795,862.494233,ring_open,n/a,,,4,1,104,1,manual,573.3101,574.5531
49893.748839,866.470278,1.171922,49894.920762,867.642200,49893.748839,866.470278,ring_open,n/a,,,4,1,105,1,manual,577.2861,578.4580
49897.623851,870.345289,1.214025,49898.837876,871.559314,49897.623851,870.345289,none_open,n/a,,,0,1,106,1,manual,581.1611,582.3751
49908.915862,881.637301,1.173613,49910.089476,882.810914,49908.915862,881.637301,ring_close,n/a,,,4,2,107,1,manual,592.4531,593.6267
49912.186199,884.907637,1.298735,49913.484934,886.206372,49912.186199,884.907637,ring_close,n/a,,,4,2,108,1,manual,595.7235,597.0222
49915.625163,888.346601,1.345213,49916.970375,889.691813,49915.625163,888.346601,ring_close,n/a,,,4,2,109,1,manual,599.1624,600.5076
49918.815589,891.537027,1.423923,49920.239512,892.960950,49918.815589,891.537027,ring_close,n/a,,,4,2,110,1,manual,602.3529,603.7768
49923.319052,896.040490,1.343255,49924.662307,897.383745,49923.319052,896.040490,ring_close,n/a,,,4,2,111,1,manual,606.8563,608.1996
49927.222645,899.944083,1.255467,49928.478112,901.199550,49927.222645,899.944083,ring_close,n/a,,,4,2,112,1,manual,610.7599,612.0154
49930.357873,903.079311,1.308184,49931.666057,904.387495,49930.357873,903.079311,ring_close,n/a,,,4,2,113,1,manual,613.8951,615.2033
49933.323046,906.044484,1.312412,49934.635457,907.356895,49933.323046,906.044484,ring_close,n/a,,,4,2,114,1,manual,616.8603,618.1727
49937.070279,909.791717,1.267976,49938.338255,911.059693,49937.070279,909.791717,ring_close,n/a,,,4,2,115,1,manual,620.6075,621.8755
49940.570039,913.291477,1.348284,49941.918323,914.639761,49940.570039,913.291477,ring_close,n/a,,,4,2,116,1,manual,624.1073,625.4556
49943.866976,916.588414,1.299928,49945.166904,917.888342,49943.866976,916.588414,none_close,n/a,,,0,2,117,1,manual,627.4042,628.7042
49947.094025,919.815463,1.164324,49948.258348,920.979786,49947.094025,919.815463,ring_close,n/a,,,4,2,118,1,manual,630.6313,631.7956
49950.085674,922.807112,1.204594,49951.290268,924.011706,49950.085674,922.807112,ring_close,n/a,,,4,2,119,1,manual,633.6229,634.8275
49953.632994,926.354432,1.292006,49954.925000,927.646438,49953.632994,926.354432,ring_close,n/a,,,4,2,120,1,manual,637.1703,638.4623
49957.342727,930.064165,1.170985,49958.513712,931.235150,49957.342727,930.064165,ring_close,n/a,,,4,2,121,1,manual,640.8800,642.0510
49960.691694,933.413132,1.154664,49961.846358,934.567796,49960.691694,933.413132,ring_close,n/a,,,4,2,122,1,manual,644.2290,645.3836
49963.822670,936.544108,1.276060,49965.098730,937.820168,49963.822670,936.544108,ring_close,n/a,,,4,2,123,1,manual,647.3599,648.6360
49967.401525,940.122963,1.304714,49968.706239,941.427677,49967.401525,940.122963,pinky_close,n/a,,,5,2,124,1,manual,650.9388,652.2435
49977.585177,950.306615,1.280273,49978.865450,951.586888,49977.585177,950.306615,pinky_open,n/a,,,5,1,125,1,manual,661.1224,662.4027
49981.529121,954.250559,1.152242,49982.681363,955.402801,49981.529121,954.250559,pinky_open,n/a,,,5,1,126,1,manual,665.0664,666.2186
49984.572135,957.293573,1.183500,49985.755635,958.477073,49984.572135,957.293573,pinky_open,n/a,,,5,1,127,1,manual,668.1094,669.2929
49988.951034,961.672472,1.100373,49990.051407,962.772845,49988.951034,961.672472,none_open,n/a,,,0,1,128,1,manual,672.4883,673.5887
49992.922927,965.644365,1.105785,49994.028712,966.750151,49992.922927,965.644365,pinky_open,n/a,,,5,1,129,1,manual,676.4602,677.5660
49996.171639,968.893078,1.181023,49997.352663,970.074101,49996.171639,968.893078,pinky_open,n/a,,,5,1,130,1,manual,679.7089,680.8899
50000.841913,973.563351,1.229700,50002.071614,974.793052,50000.841913,973.563351,none_open,n/a,,,0,1,131,1,manual,684.3792,685.6089
50004.956037,977.677475,1.299406,50006.255443,978.976881,50004.956037,977.677475,pinky_open,n/a,,,5,1,132,1,manual,688.4933,689.7927
50008.863788,981.585226,1.160967,50010.024754,982.746192,50008.863788,981.585226,pinky_open,n/a,,,5,1,133,1,manual,692.4011,693.5620
50012.253841,984.975279,0.903401,50013.157242,985.878680,50012.253841,984.975279,pinky_open,n/a,,,5,1,134,1,manual,695.7911,696.6945
50015.280709,988.002147,0.996670,50016.277380,988.998818,50015.280709,988.002147,pinky_open,n/a,,,5,1,135,1,manual,698.8180,699.8146
50018.395347,991.116785,1.049543,50019.444889,992.166327,50018.395347,991.116785,none_open,n/a,,,0,1,136,1,manual,701.9326,702.9822
50021.732838,994.454276,1.138855,50022.871693,995.593131,50021.732838,994.454276,pinky_open,n/a,,,5,1,137,1,manual,705.2701,706.4090
50024.855608,997.577046,1.217561,50026.073169,998.794607,50024.855608,997.577046,pinky_open,n/a,,,5,1,138,1,manual,708.3929,709.6104
50028.417522,1001.138960,1.179814,50029.597336,1002.318774,50028.417522,1001.138960,pinky_open,n/a,,,5,1,139,1,manual,711.9548,713.1346
50031.563321,1004.284759,1.025582,50032.588904,1005.310342,50031.563321,1004.284759,pinky_open,n/a,,,5,1,140,1,manual,715.1006,716.1262
50034.356782,1007.078220,0.940463,50035.297246,1008.018684,50034.356782,1007.078220,pinky_open,n/a,,,5,1,141,1,manual,717.8941,718.8345
50044.032373,1016.753811,1.057493,50045.089867,1017.811305,50044.032373,1016.753811,pinky_close,n/a,,,5,2,142,1,manual,727.5696,728.6271
50047.453608,1020.175046,1.116399,50048.570007,1021.291445,50047.453608,1020.175046,pinky_close,n/a,,,5,2,143,1,manual,730.9909,732.1073
50050.853575,1023.575013,1.120351,50051.973926,1024.695364,50050.853575,1023.575013,pinky_close,n/a,,,5,2,144,1,manual,734.3908,735.5112
50054.987107,1027.708545,1.083079,50056.070186,1028.791624,50054.987107,1027.708545,pinky_close,n/a,,,5,2,145,1,manual,738.5244,739.6075
50058.229216,1030.950654,1.163994,50059.393210,1032.114648,50058.229216,1030.950654,pinky_close,n/a,,,5,2,146,1,manual,741.7665,742.9305
50061.703313,1034.424751,1.309216,50063.012529,1035.733967,50061.703313,1034.424751,none_close,n/a,,,0,2,147,1,manual,745.2406,746.5498
50065.409393,1038.130831,1.108129,50066.517522,1039.238960,50065.409393,1038.130831,pinky_close,n/a,,,5,2,148,1,manual,748.9467,750.0548
50068.653616,1041.375054,1.243362,50069.896978,1042.618416,50068.653616,1041.375054,pinky_close,n/a,,,5,2,149,1,manual,752.1909,753.4342
50072.314864,1045.036302,1.289084,50073.603947,1046.325386,50072.314864,1045.036302,pinky_close,n/a,,,5,2,150,1,manual,755.8521,757.1412
50076.903908,1049.625346,1.154508,50078.058416,1050.779854,50076.903908,1049.625346,none_close,n/a,,,0,2,151,1,manual,760.4412,761.5957
50080.952617,1053.674055,1.141376,50082.093993,1054.815431,50080.952617,1053.674055,pinky_close,n/a,,,5,2,152,1,manual,764.4899,765.6313
50085.381846,1058.103284,1.060053,50086.441899,1059.163337,50085.381846,1058.103284,pinky_close,n/a,,,5,2,153,1,manual,768.9191,769.9792
50088.635617,1061.357055,1.153841,50089.789458,1062.510896,50088.635617,1061.357055,pinky_close,n/a,,,5,2,154,1,manual,772.1729,773.3267
50092.140886,1064.862324,1.021002,50093.161889,1065.883327,50092.140886,1064.862324,pinky_close,n/a,,,5,2,155,1,manual,775.6782,776.6992
50096.069493,1068.790931,1.124263,50097.193756,1069.915194,50096.069493,1068.790931,pinky_close,n/a,,,5,2,156,1,manual,779.6068,780.7310
50099.124858,1071.846296,1.304723,50100.429581,1073.151019,50099.124858,1071.846296,none_close,n/a,,,0,2,157,1,manual,782.6621,783.9669
50102.719227,1075.440665,1.197648,50103.916875,1076.638313,50102.719227,1075.440665,pinky_close,n/a,,,5,2,158,1,manual,786.2565,787.4541
50106.418322,1079.139760,1.298783,50107.717105,1080.438543,50106.418322,1079.139760,pinky_close,n/a,,,5,2,159,1,manual,789.9556,791.2544
50124.916202,1097.637640,5.909723,50130.825925,1103.547363,50124.916202,1097.637640,rest,n/a,,,0,0,160,1,manual,808.4535,814.3632
50136.460458,1109.181896,7.856433,50144.316891,1117.038329,50136.460458,1109.181896,rest,n/a,,,0,0,161,1,manual,819.9977,827.8542
