onset_s,duration_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source
833.8920,1.0154,index_close,n/a,,,2,2,84,2,manual
836.8752,1.0270,index_close,n/a,,,2,2,85,2,manual
860.3422,1.6334,index_close,n/a,,,2,2,86,2,manual
867.5851,0.8157,index_close,n/a,,,2,2,87,2,manual
870.6226,0.9494,index_close,n/a,,,2,2,88,2,manual
880.9909,0.8581,middle_close,n/a,,,3,2,89,2,manual
884.1968,1.1057,middle_close,n/a,,,3,2,90,2,manual
887.4250,1.1768,middle_close,n/a,,,3,2,91,2,manual
890.5707,1.2922,middle_close,n/a,,,3,2,92,2,manual
893.7976,1.0213,middle_close,n/a,,,3,2,93,2,manual
897.6085,0.9837,middle_close,n/a,,,3,2,94,2,manual
900.7894,1.7684,middle_close,n/a,,,3,2,95,2,manual
917.0769,0.9525,middle_close,n/a,,,3,2,96,2,manual
919.9419,1.0048,middle_close,n/a,,,3,2,97,2,manual
922.8046,1.1138,middle_close,n/a,,,3,2,98,2,manual
925.9158,1.1593,middle_close,n/a,,,3,2,99,2,manual
929.0418,1.1609,middle_close,n/a,,,3,2,100,2,manual
948.9026,0.9695,ring_close,n/a,,,4,2,101,2,manual
951.9353,1.0668,ring_close,n/a,,,4,2,102,2,manual
961.9081,1.2607,ring_close,n/a,,,4,2,103,2,manual
966.3636,1.0160,ring_close,n/a,,,4,2,104,2,manual
970.1086,0.9501,ring_close,n/a,,,4,2,105,2,manual
973.2731,0.8871,ring_close,n/a,,,4,2,106,2,manual
975.8473,0.9550,ring_close,n/a,,,4,2,107,2,manual
978.2603,1.0246,ring_close,n/a,,,4,2,108,2,manual
988.8313,0.8476,ring_close,n/a,,,4,2,109,2,manual
991.7077,0.9111,ring_close,n/a,,,4,2,110,2,manual
994.1875,0.9249,ring_close,n/a,,,4,2,111,2,manual
1002.8561,0.8039,pinky_close,n/a,,,5,2,112,2,manual
1005.4313,1.1010,pinky_close,n/a,,,5,2,113,2,manual
1008.1976,0.8958,pinky_close,n/a,,,5,2,114,2,manual
1011.1762,0.9384,pinky_close,n/a,,,5,2,115,2,manual
1013.3851,1.1359,pinky_close,n/a,,,5,2,116,2,manual
1015.9795,0.8006,pinky_close,n/a,,,5,2,117,2,manual
1018.0394,0.9293,pinky_close,n/a,,,5,2,118,2,manual
1020.1662,0.9334,pinky_close,n/a,,,5,2,119,2,manual
1029.7412,1.0318,pinky_close,n/a,,,5,2,120,2,manual
1032.4225,0.8311,pinky_close,n/a,,,5,2,121,2,manual
1034.4709,0.8325,pinky_close,n/a,,,5,2,122,2,manual
